site,miner_id,ip,mac,scanner_result,model,firmware,rt_hash,avg_hash,elapsed,temperature,fan_rpm,pool_state,worker
DEMO-RIVERBEND,RB-01147,10.240.4.196,02:00:00:04:7b:c7,Success,Antminer S19j Pro 104T,20230315,97582.90 GH/s,100222.36 GH/s,2d 18h 09m,73.4/73.4/75.0 C,6102/6484/5978/5870 RPM,Connected,demo-riverbend.01147
DEMO-RIVERBEND,RB-01148,10.240.4.197,02:00:00:04:7c:ec,Success,Antminer S19 95T,20230110,89691.35 GH/s,95688.13 GH/s,9d 18h 44m,71.8/73.2/72.5 C,5492/6069/6196/6057 RPM,Connected,demo-riverbend.01148
DEMO-RIVERBEND,RB-01149,10.240.4.198,02:00:00:04:7d:11,Success,WhatsMiner M30S++ 112T,20230110,106580.45 GH/s,109799.08 GH/s,7d 04h 47m,75.8/75.5/75.3 C,5513/6256/6342/6289 RPM,Connected,demo-riverbend.01149
DEMO-RIVERBEND,RB-01150,10.240.4.199,02:00:00:04:7e:36,Success,Antminer S19j Pro 104T,20230315,99650.31 GH/s,104762.43 GH/s,8d 08h 40m,64.8/65.0/65.1 C,6011/5451/6232/5984 RPM,Connected,demo-riverbend.01150
DEMO-RIVERBEND,RB-01151,10.240.4.200,02:00:00:04:7f:5b,Success,Antminer S19 95T,20230110,92214.20 GH/s,92361.87 GH/s,5d 16h 27m,66.8/66.2/68.6 C,6312/5738/5885/6313 RPM,Connected,demo-riverbend.01151
DEMO-RIVERBEND,RB-01152,10.240.4.201,02:00:00:04:80:80,Success,WhatsMiner M30S++ 112T,20230110,0 GH/s,0 GH/s,4d 02h 55m,74.6/76.0/76.1 C,5419/5554/5608/5457 RPM,Unknown,demo-riverbend.01152
DEMO-RIVERBEND,RB-01153,10.240.4.202,02:00:00:04:81:a5,Success,Antminer S19j Pro 104T,20230315,105609.65 GH/s,106686.67 GH/s,1d 18h 41m,73.9/74.6/75.5 C,5701/5624/6065/6256 RPM,Connected,demo-riverbend.01153
DEMO-RIVERBEND,RB-01154,10.240.4.203,02:00:00:04:82:ca,Success,Antminer S19 95T,20230110,88536.76 GH/s,93423.20 GH/s,8d 14h 27m,64.9/66.6/64.5 C,6106/6331/5451/6234 RPM,Connected,demo-riverbend.01154
DEMO-RIVERBEND,RB-01155,10.240.4.204,02:00:00:04:83:ef,Success,WhatsMiner M30S++ 112T,20230110,110370.00 GH/s,111109.25 GH/s,7d 14h 09m,75.1/76.8/76.7 C,6047/5575/5609/5987 RPM,Connected,demo-riverbend.01155
DEMO-RIVERBEND,RB-01156,10.240.4.205,02:00:00:04:84:14,Success,Antminer S19j Pro 104T,20230315,109498.47 GH/s,106752.73 GH/s,6d 05h 57m,70.2/70.1/71.6 C,6096/6285/5998/5813 RPM,Connected,demo-riverbend.01156
DEMO-RIVERBEND,RB-01157,10.240.4.206,02:00:00:04:85:39,Success,Antminer S19 95T,20230110,96315.27 GH/s,93964.34 GH/s,5d 12h 26m,62.2/63.3/62.8 C,6245/6220/6262/5905 RPM,Connected,demo-riverbend.01157
DEMO-RIVERBEND,RB-01158,10.240.4.207,02:00:00:04:86:5e,Success,WhatsMiner M30S++ 112T,20230110,109972.21 GH/s,113829.33 GH/s,1d 09h 07m,61.5/61.5/62.3 C,6320/5632/5917/6428 RPM,Connected,demo-riverbend.01158
DEMO-RIVERBEND,RB-01159,10.240.4.208,02:00:00:04:87:83,Success,Antminer S19j Pro 104T,20230315,101129.99 GH/s,104864.19 GH/s,3d 15h 13m,70.5/70.1/70.5 C,5894/6359/6378/5564 RPM,Connected,demo-riverbend.01159
DEMO-RIVERBEND,RB-01160,10.240.4.209,02:00:00:04:88:a8,Success,Antminer S19 95T,20230110,90483.23 GH/s,92319.20 GH/s,3d 22h 41m,69.1/68.2/70.0 C,6323/5716/5880/6480 RPM,Connected,demo-riverbend.01160
DEMO-RIVERBEND,RB-01161,10.240.4.210,02:00:00:04:89:cd,Success,WhatsMiner M30S++ 112T,20230110,111298.49 GH/s,109673.47 GH/s,2d 06h 59m,71.9/73.9/72.2 C,5827/5792/6023/5639 RPM,Connected,demo-riverbend.01161
DEMO-RIVERBEND,RB-01162,10.240.4.211,02:00:00:04:8a:f2,Success,Antminer S19j Pro 104T,20230315,101820.16 GH/s,100630.64 GH/s,7d 11h 44m,67.1/68.4/66.4 C,5656/6168/5443/5886 RPM,Connected,demo-riverbend.01162
DEMO-RIVERBEND,RB-01163,10.240.4.212,02:00:00:04:8b:17,Success,Antminer S19 95T,20230110,86148.97 GH/s,91624.40 GH/s,5d 22h 03m,60.2/59.6/61.2 C,5585/5458/5472/5869 RPM,Connected,demo-riverbend.01163
DEMO-RIVERBEND,RB-01164,10.240.4.213,02:00:00:04:8c:3c,Success,WhatsMiner M30S++ 112T,20230110,113666.83 GH/s,112248.07 GH/s,2d 23h 26m,66.2/68.0/66.5 C,5836/5922/6403/5597 RPM,Connected,demo-riverbend.01164
DEMO-RIVERBEND,RB-01165,10.240.4.214,02:00:00:04:8d:61,Success,Antminer S19j Pro 104T,20230315,99832.99 GH/s,104262.68 GH/s,9d 14h 43m,61.2/62.7/61.1 C,5935/6424/5884/5891 RPM,Connected,demo-riverbend.01165
DEMO-RIVERBEND,RB-01166,10.240.4.215,02:00:00:04:8e:86,Success,Antminer S19 95T,20230110,91077.58 GH/s,93148.47 GH/s,6d 10h 35m,76.9/76.0/78.8 C,5856/5794/6034/5765 RPM,Connected,demo-riverbend.01166
DEMO-RIVERBEND,RB-01167,10.240.4.216,02:00:00:04:8f:ab,Success,WhatsMiner M30S++ 112T,20230110,107620.19 GH/s,109303.36 GH/s,3d 08h 16m,60.5/59.8/62.5 C,6222/6382/5515/5644 RPM,Connected,demo-riverbend.01167
DEMO-RIVERBEND,RB-01168,10.240.4.217,02:00:00:04:90:d0,Success,Antminer S19j Pro 104T,20230315,103980.72 GH/s,103885.78 GH/s,4d 14h 16m,66.6/68.1/68.0 C,5966/6092/6140/5705 RPM,Connected,demo-riverbend.01168
DEMO-RIVERBEND,RB-01169,10.240.4.218,02:00:00:04:91:f5,Success,Antminer S19 95T,20230110,98826.53 GH/s,96944.94 GH/s,1d 23h 45m,64.6/65.7/64.4 C,5997/6289/6127/6049 RPM,Connected,demo-riverbend.01169
DEMO-RIVERBEND,RB-01170,10.240.4.219,02:00:00:04:92:1a,Success,WhatsMiner M30S++ 112T,20230110,104494.82 GH/s,112072.91 GH/s,9d 18h 22m,73.1/73.7/73.7 C,6477/6394/5944/5804 RPM,Connected,demo-riverbend.01170
DEMO-RIVERBEND,RB-01171,10.240.4.220,02:00:00:04:93:3f,Success,Antminer S19j Pro 104T,20230315,0 GH/s,104367.03 GH/s,9d 12h 17m,255/255/255,6345/6364/6039/5643 RPM,Unknown,demo-riverbend.01171
DEMO-RIVERBEND,RB-01172,10.240.4.221,02:00:00:04:94:64,Success,Antminer S19 95T,20230110,93303.64 GH/s,93592.82 GH/s,8d 06h 12m,60.7/62.6/60.5 C,6367/6247/5527/6270 RPM,Connected,demo-riverbend.01172
DEMO-RIVERBEND,RB-01173,10.240.4.222,02:00:00:04:95:89,Success,WhatsMiner M30S++ 112T,20230110,107692.08 GH/s,112160.99 GH/s,8d 06h 26m,74.5/74.7/75.6 C,6201/6342/6343/5677 RPM,Connected,demo-riverbend.01173
DEMO-RIVERBEND,RB-01174,10.240.4.223,02:00:00:04:96:ae,Success,Antminer S19j Pro 104T,20230315,97154.01 GH/s,103186.00 GH/s,1d 20h 36m,67.7/67.4/69.3 C,6166/5844/5809/5913 RPM,Connected,demo-riverbend.01174
DEMO-RIVERBEND,RB-01175,10.240.4.224,02:00:00:04:97:d3,Success,Antminer S19 95T,20230110,91117.83 GH/s,91902.88 GH/s,5d 03h 45m,74.3/73.4/74.1 C,5685/5522/5672/6091 RPM,Connected,demo-riverbend.01175
DEMO-RIVERBEND,RB-01176,10.240.4.225,02:00:00:04:98:f8,Success,WhatsMiner M30S++ 112T,20230110,106964.18 GH/s,112214.33 GH/s,3d 01h 01m,60.1/61.2/60.3 C,,Connected,demo-riverbend.01176
DEMO-RIVERBEND,RB-01177,10.240.4.226,02:00:00:04:99:1d,Success,Antminer S19j Pro 104T,20230315,97316.81 GH/s,100052.13 GH/s,1d 21h 53m,77.1/76.1/78.3 C,6267/6481/5798/5508 RPM,Connected,demo-riverbend.01177
DEMO-RIVERBEND,RB-01178,10.240.4.227,02:00:00:04:9a:42,Success,Antminer S19 95T,20230110,87137.26 GH/s,92760.31 GH/s,3d 22h 20m,64.8/64.8/66.1 C,6490/5616/6453/6020 RPM,Connected,demo-riverbend.01178
DEMO-RIVERBEND,RB-01179,10.240.4.228,02:00:00:04:9b:67,Success,WhatsMiner M30S++ 112T,20230110,105642.33 GH/s,112563.37 GH/s,7d 04h 24m,76.1/77.2/75.4 C,5609/6433/5540/5987 RPM,Connected,demo-riverbend.01179
DEMO-RIVERBEND,RB-01180,10.240.4.229,02:00:00:04:9c:8c,Success,Antminer S19j Pro 104T,20230315,102295.59 GH/s,101689.30 GH/s,4d 21h 19m,68.8/68.7/69.0 C,5658/5867/6046/6164 RPM,Connected,demo-riverbend.01180
DEMO-RIVERBEND,RB-01181,10.240.4.230,02:00:00:04:9d:b1,Success,Antminer S19 95T,20230110,96615.94 GH/s,95559.70 GH/s,5d 06h 44m,70.3/71.8/71.9 C,5923/5902/5549/5785 RPM,Connected,demo-riverbend.01181
DEMO-RIVERBEND,RB-01182,10.240.4.231,02:00:00:04:9e:d6,Success,WhatsMiner M30S++ 112T,20230110,106547.64 GH/s,112542.14 GH/s,3d 22h 10m,65.4/66.9/65.2 C,6212/5792/6294/6158 RPM,Connected,demo-riverbend.01182
DEMO-RIVERBEND,RB-01183,10.240.4.232,02:00:00:04:9f:fb,Success,Antminer S19j Pro 104T,20230315,95260.61 GH/s,102014.05 GH/s,7d 12h 41m,61.7/61.9/61.3 C,6207/6034/5569/6188 RPM,Connected,demo-riverbend.01183
DEMO-RIVERBEND,RB-01184,10.240.4.233,02:00:00:04:a0:20,Success,Antminer S19 95T,20230110,89874.78 GH/s,93491.94 GH/s,6d 13h 36m,64.5/65.8/63.8 C,5847/5449/6369/6253 RPM,Connected,demo-riverbend.01184
DEMO-RIVERBEND,RB-01185,10.240.4.234,02:00:00:04:a1:45,Success,WhatsMiner M30S++ 112T,20230110,106944.70 GH/s,111219.71 GH/s,8d 13h 31m,70.8/70.5/70.6 C,6287/6090/6069/6006 RPM,Connected,demo-riverbend.01185
DEMO-RIVERBEND,RB-01186,10.240.4.235,02:00:00:04:a2:6a,Success,Antminer S19j Pro 104T,20230315,103160.59 GH/s,106051.42 GH/s,8d 09h 04m,71.7/73.3/71.3 C,6028/5709/5621/5789 RPM,Connected,demo-riverbend.01186
DEMO-RIVERBEND,RB-01187,10.240.4.236,02:00:00:04:a3:8f,Success,Antminer S19 95T,20230110,92965.99 GH/s,91930.44 GH/s,4d 09h 05m,64.0/65.7/63.0 C,6166/5591/6415/6357 RPM,Connected,demo-riverbend.01187
DEMO-RIVERBEND,RB-01188,10.240.4.237,02:00:00:04:a4:b4,Success,WhatsMiner M30S++ 112T,20230110,110212.53 GH/s,112105.12 GH/s,5d 07h 30m,73.6/73.2/72.9 C,5707/6030/5781/5744 RPM,Connected,demo-riverbend.01188
DEMO-RIVERBEND,RB-01189,10.240.4.238,02:00:00:04:a5:d9,Success,Antminer S19j Pro 104T,20230315,0 GH/s,106186.65 GH/s,3d 07h 43m,73.5/74.0/74.5 C,5469/5871/5960/5770 RPM,Unknown,demo-riverbend.01189
DEMO-RIVERBEND,RB-01190,10.240.4.239,02:00:00:04:a6:fe,Success,Antminer S19 95T,20230110,89954.37 GH/s,93291.99 GH/s,5d 17h 18m,72.8/74.2/74.2 C,5937/5480/5527/6302 RPM,Connected,demo-riverbend.01190
DEMO-RIVERBEND,RB-01191,10.240.4.240,02:00:00:04:a7:23,Success,WhatsMiner M30S++ 112T,20230110,69779.67 GH/s,112313.06 GH/s,2d 07h 21m,63.6/64.9/64.0 C,5606/5712/6406/5572 RPM,Connected,demo-riverbend.01191
DEMO-RIVERBEND,RB-01192,10.240.4.241,02:00:00:04:a8:48,Success,Antminer S19j Pro 104T,20230315,108714.83 GH/s,105818.64 GH/s,9d 16h 27m,72.8/72.4/74.5 C,5999/5778/6284/6287 RPM,Connected,demo-riverbend.01192
DEMO-RIVERBEND,RB-01193,10.240.4.242,02:00:00:04:a9:6d,Success,Antminer S19 95T,20230110,95748.18 GH/s,96273.89 GH/s,4d 20h 27m,70.4/69.4/70.2 C,6022/5891/6337/6267 RPM,Connected,demo-riverbend.01193
DEMO-RIVERBEND,RB-01194,10.240.4.243,02:00:00:04:aa:92,Success,WhatsMiner M30S++ 112T,20230110,104318.03 GH/s,110341.60 GH/s,3d 01h 14m,65.1/66.3/66.3 C,5860/6308/6329/5719 RPM,Connected,demo-riverbend.01194
DEMO-RIVERBEND,RB-01195,10.240.4.244,02:00:00:04:ab:b7,Success,Antminer S19j Pro 104T,20230315,103683.05 GH/s,105046.32 GH/s,2d 01h 06m,71.9/73.1/71.9 C,5840/5468/6130/5507 RPM,Connected,demo-riverbend.01195
DEMO-RIVERBEND,RB-01196,10.240.4.245,02:00:00:04:ac:dc,Success,Antminer S19 95T,20230110,87702.07 GH/s,93151.83 GH/s,6d 18h 08m,71.3/73.0/70.7 C,5528/6033/5928/5504 RPM,Connected,demo-riverbend.01196
DEMO-RIVERBEND,RB-01197,10.240.4.246,02:00:00:04:ad:01,Success,WhatsMiner M30S++ 112T,20230110,110576.66 GH/s,112307.89 GH/s,2d 17h 49m,77.8/79.5/78.9 C,5771/6410/5852/6116 RPM,Connected,demo-riverbend.01197
DEMO-RIVERBEND,RB-01198,10.240.4.247,02:00:00:04:ae:26,Success,Antminer S19j Pro 104T,20230315,100424.34 GH/s,101786.00 GH/s,9d 13h 12m,70.9/70.4/71.4 C,6045/5445/5682/5939 RPM,Connected,demo-riverbend.01198
DEMO-RIVERBEND,RB-01199,10.240.4.248,02:00:00:04:af:4b,Success,Antminer S19 95T,20230110,90897.30 GH/s,91588.03 GH/s,4d 20h 25m,73.0/72.4/73.2 C,6120/5807/5554/5500 RPM,Connected,demo-riverbend.01199
DEMO-RIVERBEND,RB-01200,10.240.4.249,02:00:00:04:b0:70,Success,WhatsMiner M30S++ 112T,20230110,106626.69 GH/s,111480.99 GH/s,2d 15h 04m,66.0/66.7/65.7 C,6115/5918/5541/5976 RPM,Connected,demo-riverbend.01200
DEMO-RIVERBEND,RB-01201,10.240.5.10,02:00:00:04:b1:95,Success,Antminer S19j Pro 104T,20230315,103780.87 GH/s,106087.32 GH/s,2d 04h 32m,65.6/66.1/65.2 C,5786/5433/6028/5460 RPM,Connected,demo-riverbend.01201
DEMO-RIVERBEND,RB-01202,10.240.5.11,02:00:00:04:b2:ba,Success,Antminer S19 95T,20230110,93592.64 GH/s,91679.81 GH/s,9d 17h 14m,61.8/63.7/62.9 C,5895/6500/5957/6118 RPM,Connected,demo-riverbend.01202
DEMO-RIVERBEND,RB-01203,10.240.5.12,02:00:00:04:b3:df,Success,WhatsMiner M30S++ 112T,20230110,114152.69 GH/s,114367.68 GH/s,6d 07h 14m,60.3/59.6/60.7 C,5423/6362/5968/5816 RPM,Connected,demo-riverbend.01203
DEMO-RIVERBEND,RB-01204,10.240.5.13,02:00:00:04:b4:04,Success,Antminer S19j Pro 104T,20230315,100813.44 GH/s,103564.11 GH/s,8d 15h 18m,64.9/64.7/64.6 C,5491/6260/6180/5907 RPM,Connected,demo-riverbend.01204
DEMO-RIVERBEND,RB-01205,10.240.5.14,02:00:00:04:b5:29,Success,Antminer S19 95T,20230110,91670.45 GH/s,91242.34 GH/s,5d 07h 58m,60.4/62.3/59.5 C,5603/5411/6135/6237 RPM,Connected,demo-riverbend.01205
DEMO-RIVERBEND,RB-01206,10.240.5.15,02:00:00:04:b6:4e,Success,WhatsMiner M30S++ 112T,20230110,107107.46 GH/s,114999.18 GH/s,6d 05h 49m,64.0/64.4/65.6 C,5846/6325/6230/5501 RPM,Connected,demo-riverbend.01206
DEMO-RIVERBEND,RB-01207,10.240.5.16,02:00:00:04:b7:73,Success,Antminer S19j Pro 104T,20230315,108639.99 GH/s,106282.96 GH/s,2d 14h 02m,64.4/65.1/64.2 C,5747/5782/6232/6003 RPM,Connected,demo-riverbend.01207
DEMO-RIVERBEND,RB-01208,10.240.5.17,02:00:00:04:b8:98,Success,Antminer S19 95T,20230110,92708.09 GH/s,94034.14 GH/s,4d 12h 08m,69.5/70.0/70.7 C,5600/5564/5487/5690 RPM,Connected,demo-riverbend.01208
DEMO-RIVERBEND,RB-01209,10.240.5.18,02:00:00:04:b9:bd,Success,WhatsMiner M30S++ 112T,20230110,112477.84 GH/s,109427.97 GH/s,1d 12h 41m,75.1/75.8/74.4 C,6133/5769/6240/5591 RPM,Connected,demo-riverbend.01209
DEMO-RIVERBEND,RB-01210,10.240.5.19,02:00:00:04:ba:e2,Success,Antminer S19j Pro 104T,20230315,99536.40 GH/s,104501.07 GH/s,3d 02h 55m,66.0/65.8/68.0 C,6441/5460/6153/6229 RPM,Connected,demo-riverbend.01210
DEMO-RIVERBEND,RB-01211,10.240.5.20,02:00:00:04:bb:07,Success,Antminer S19 95T,20230110,87419.25 GH/s,91964.16 GH/s,1d 18h 07m,70.9/71.3/71.1 C,6072/5997/6374/6298 RPM,Connected,demo-riverbend.01211
DEMO-RIVERBEND,RB-01212,10.240.5.21,02:00:00:04:bc:2c,Success,WhatsMiner M30S++ 112T,20230110,109279.81 GH/s,110293.03 GH/s,1d 07h 58m,72.4/74.0/71.7 C,5539/6279/5858/6486 RPM,Connected,demo-riverbend.01212
DEMO-RIVERBEND,RB-01213,10.240.5.22,02:00:00:04:bd:51,Success,Antminer S19j Pro 104T,20230315,100305.74 GH/s,100040.63 GH/s,9d 05h 55m,64.7/65.0/66.3 C,6213/6429/6003/6306 RPM,Connected,demo-riverbend.01213
DEMO-RIVERBEND,RB-01214,10.240.5.23,02:00:00:04:be:76,Success,Antminer S19 95T,20230110,92683.83 GH/s,94013.06 GH/s,7d 19h 41m,64.5/64.8/66.2 C,5608/5683/6132/6357 RPM,Connected,demo-riverbend.01214
DEMO-RIVERBEND,RB-01215,10.240.5.24,02:00:00:04:bf:9b,Success,WhatsMiner M30S++ 112T,20230110,114743.29 GH/s,113512.53 GH/s,3d 14h 57m,72.4/72.0/71.7 C,6485/6462/6454/6302 RPM,Connected,demo-riverbend.01215
DEMO-RIVERBEND,RB-01216,10.240.5.25,02:00:00:04:c0:c0,Success,Antminer S19j Pro 104T,20230315,102965.67 GH/s,100703.46 GH/s,3d 12h 37m,67.0/67.3/67.3 C,5500/5918/5486/5718 RPM,Connected,demo-riverbend.01216
DEMO-RIVERBEND,RB-01217,10.240.5.26,02:00:00:04:c1:e5,Success,Antminer S19 95T,20230110,95710.41 GH/s,93922.91 GH/s,4d 22h 51m,76.0/77.3/75.9 C,6190/5676/5445/5431 RPM,Connected,demo-riverbend.01217
DEMO-RIVERBEND,RB-01218,10.240.5.27,02:00:00:04:c2:0a,Success,WhatsMiner M30S++ 112T,20230110,0 GH/s,112487.46 GH/s,6d 01h 44m,255/255/255,6204/6386/5654/6405 RPM,Unknown,demo-riverbend.01218
DEMO-RIVERBEND,RB-01219,10.240.5.28,02:00:00:04:c3:2f,Success,Antminer S19j Pro 104T,20230315,107915.16 GH/s,106752.38 GH/s,6d 07h 57m,76.6/78.2/78.0 C,6333/6454/5607/5791 RPM,Connected,demo-riverbend.01219
DEMO-RIVERBEND,RB-01220,10.240.5.29,02:00:00:04:c4:54,Success,Antminer S19 95T,20230110,91702.22 GH/s,94426.18 GH/s,4d 11h 53m,71.8/72.5/72.7 C,6222/5669/5652/5956 RPM,Connected,demo-riverbend.01220
DEMO-RIVERBEND,RB-01221,10.240.5.30,02:00:00:04:c5:79,Success,WhatsMiner M30S++ 112T,20230110,113570.01 GH/s,111781.28 GH/s,8d 17h 31m,71.8/71.3/71.4 C,6168/5474/5835/6414 RPM,Connected,demo-riverbend.01221
DEMO-RIVERBEND,RB-01222,10.240.5.31,02:00:00:04:c6:9e,Success,Antminer S19j Pro 104T,20230315,99772.78 GH/s,105688.21 GH/s,9d 07h 54m,61.6/62.0/61.7 C,5408/6212/6051/5875 RPM,Connected,demo-riverbend.01222
DEMO-RIVERBEND,RB-01223,10.240.5.32,02:00:00:04:c7:c3,Success,Antminer S19 95T,20230110,86810.49 GH/s,92077.49 GH/s,,75.7/77.6/76.5 C,5904/5853/6294/6089 RPM,Connected,demo-riverbend.01223
DEMO-RIVERBEND,RB-01224,10.240.5.33,02:00:00:04:c8:e8,Success,WhatsMiner M30S++ 112T,20230110,113268.85 GH/s,110054.85 GH/s,5d 01h 28m,69.2/69.4/70.4 C,6227/5684/6481/5945 RPM,Connected,demo-riverbend.01224
DEMO-RIVERBEND,RB-01225,10.240.5.34,02:00:00:04:c9:0d,Success,Antminer S19j Pro 104T,20230315,99119.18 GH/s,101661.53 GH/s,7d 16h 45m,75.7/77.2/77.3 C,5682/5916/5963/5737 RPM,Connected,demo-riverbend.01225
DEMO-RIVERBEND,RB-01226,10.240.5.35,02:00:00:04:ca:32,Success,Antminer S19 95T,20230110,92260.56 GH/s,95700.21 GH/s,5d 19h 16m,75.3/75.6/75.0 C,5865/6382/5846/6111 RPM,Connected,demo-riverbend.01226
DEMO-RIVERBEND,RB-01227,10.240.5.36,02:00:00:04:cb:57,Success,WhatsMiner M30S++ 112T,20230110,108820.08 GH/s,113723.81 GH/s,5d 08h 12m,74.7/75.2/74.0 C,5487/5788/6402/6015 RPM,Connected,demo-riverbend.01227
DEMO-RIVERBEND,RB-01228,10.240.5.37,02:00:00:04:cc:7c,Success,Antminer S19j Pro 104T,20230315,95530.56 GH/s,100069.80 GH/s,7d 07h 00m,73.4/73.1/73.1 C,5944/6042/5424/5567 RPM,Connected,demo-riverbend.01228
DEMO-RIVERBEND,RB-01229,10.240.5.38,02:00:00:04:cd:a1,Success,Antminer S19 95T,20230110,93539.71 GH/s,95400.00 GH/s,4d 23h 27m,67.0/68.1/67.6 C,5764/5468/6176/5435 RPM,Connected,demo-riverbend.01229
DEMO-RIVERBEND,RB-01230,10.240.5.39,02:00:00:04:ce:c6,Success,WhatsMiner M30S++ 112T,20230110,105427.71 GH/s,107917.38 GH/s,9d 09h 30m,75.5/77.3/76.0 C,6172/5894/5579/6259 RPM,Connected,demo-riverbend.01230
DEMO-RIVERBEND,RB-01231,10.240.5.40,02:00:00:04:cf:eb,Success,Antminer S19j Pro 104T,20230315,101790.83 GH/s,100934.17 GH/s,8d 18h 50m,64.2/64.4/63.9 C,5413/6005/6143/5601 RPM,Connected,demo-riverbend.01231
DEMO-RIVERBEND,RB-01232,10.240.5.41,02:00:00:04:d0:10,Success,Antminer S19 95T,20230110,92016.55 GH/s,92307.02 GH/s,3d 13h 59m,61.4/63.4/61.6 C,5625/6498/5892/5953 RPM,Connected,demo-riverbend.01232
DEMO-RIVERBEND,RB-01233,10.240.5.42,02:00:00:04:d1:35,Success,WhatsMiner M30S++ 112T,20230110,0 GH/s,114818.71 GH/s,3d 03h 26m,77.2/78.6/76.3 C,5452/6195/5429/5891 RPM,Connected,demo-riverbend.01233
DEMO-RIVERBEND,RB-01234,10.240.5.43,02:00:00:04:d2:5a,Success,Antminer S19j Pro 104T,20230315,104616.71 GH/s,102352.68 GH/s,7d 03h 41m,73.9/74.9/74.8 C,5735/5958/5867/5912 RPM,Connected,demo-riverbend.01234
DEMO-RIVERBEND,RB-01235,10.240.5.44,02:00:00:04:d3:7f,Success,Antminer S19 95T,20230110,65132.15 GH/s,93217.59 GH/s,3d 13h 46m,65.7/67.7/66.5 C,5712/5550/6406/5624 RPM,Connected,demo-riverbend.01235
DEMO-RIVERBEND,RB-01236,10.240.5.45,02:00:00:04:d4:a4,Success,WhatsMiner M30S++ 112T,20230110,108469.27 GH/s,114801.87 GH/s,9d 05h 05m,72.3/73.6/71.5 C,6024/6134/5960/6067 RPM,Connected,demo-riverbend.01236
DEMO-RIVERBEND,RB-01237,10.240.5.46,02:00:00:04:d5:c9,Success,Antminer S19j Pro 104T,20230315,97017.12 GH/s,99849.35 GH/s,8d 05h 06m,73.4/75.1/72.4 C,6131/5861/6480/6301 RPM,Connected,demo-riverbend.01237
DEMO-RIVERBEND,RB-01238,10.240.5.47,02:00:00:04:d6:ee,Success,Antminer S19 95T,20230110,92394.20 GH/s,97344.73 GH/s,7d 11h 33m,71.6/71.0/72.7 C,6219/5802/6436/5652 RPM,Connected,demo-riverbend.01238
DEMO-RIVERBEND,RB-01239,10.240.5.48,02:00:00:04:d7:13,Success,WhatsMiner M30S++ 112T,20230110,111173.63 GH/s,113079.19 GH/s,2d 07h 38m,67.7/68.7/68.2 C,6028/6087/6391/5607 RPM,Connected,demo-riverbend.01239
DEMO-RIVERBEND,RB-01240,10.240.5.49,02:00:00:04:d8:38,Success,Antminer S19j Pro 104T,20230315,101879.84 GH/s,100954.98 GH/s,5d 15h 36m,77.9/77.9/79.2 C,5612/5919/6288/6020 RPM,Connected,demo-riverbend.01240
DEMO-RIVERBEND,RB-01241,10.240.5.50,02:00:00:04:d9:5d,Success,Antminer S19 95T,20230110,92412.27 GH/s,97821.09 GH/s,2d 04h 32m,67.7/66.8/68.5 C,6161/6058/6170/5437 RPM,Connected,demo-riverbend.01241
DEMO-RIVERBEND,RB-01242,10.240.5.51,02:00:00:04:da:82,Success,WhatsMiner M30S++ 112T,20230110,106480.08 GH/s,111793.45 GH/s,3d 11h 45m,71.0/71.7/70.9 C,6131/5723/6040/6482 RPM,Connected,demo-riverbend.01242
DEMO-RIVERBEND,RB-01243,10.240.5.52,02:00:00:04:db:a7,Success,Antminer S19j Pro 104T,20230315,94849.35 GH/s,101329.72 GH/s,6d 04h 35m,60.6/62.1/60.8 C,5595/6092/5499/5992 RPM,Connected,demo-riverbend.01243
DEMO-RIVERBEND,RB-01244,10.240.5.53,02:00:00:04:dc:cc,Success,Antminer S19 95T,20230110,91022.31 GH/s,97100.61 GH/s,2d 14h 02m,70.8/71.9/72.0 C,5801/5863/6228/6279 RPM,Connected,demo-riverbend.01244
DEMO-RIVERBEND,RB-01245,10.240.5.54,02:00:00:04:dd:f1,Success,WhatsMiner M30S++ 112T,20230110,102991.18 GH/s,109275.64 GH/s,5d 21h 59m,72.4/74.0/72.2 C,6303/5889/5813/5695 RPM,Connected,demo-riverbend.01245
DEMO-RIVERBEND,RB-01246,10.240.5.55,02:00:00:04:de:16,Success,Antminer S19j Pro 104T,20230315,107051.09 GH/s,106673.30 GH/s,3d 07h 34m,69.1/70.7/68.7 C,5641/6144/5695/5859 RPM,Connected,demo-riverbend.01246
DEMO-RIVERBEND,RB-01247,10.240.5.56,02:00:00:04:df:3b,Success,Antminer S19 95T,20230110,96115.52 GH/s,93329.09 GH/s,6d 09h 56m,72.8/74.3/72.9 C,6283/5542/5777/6303 RPM,Connected,demo-riverbend.01247
DEMO-RIVERBEND,RB-01248,10.240.5.57,02:00:00:04:e0:60,Success,WhatsMiner M30S++ 112T,20230110,111081.24 GH/s,111739.47 GH/s,6d 09h 08m,77.5/77.5/78.7 C,5942/5465/5701/5834 RPM,Connected,demo-riverbend.01248
DEMO-RIVERBEND,RB-01249,10.240.5.58,02:00:00:04:e1:85,Success,Antminer S19j Pro 104T,20230315,101334.84 GH/s,106206.72 GH/s,6d 13h 50m,66.2/65.7/67.7 C,5493/5522/6197/5969 RPM,Connected,demo-riverbend.01249
